medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	ethnicity
138261000000114	Iranian - ethnic category 2001 census	9iFD	9iFD.00	89011000000107	Ethnicity
138271000000119	South and Central American - ethnic category 2001 census	9iFH	9iFH.00	89021000000101	Ethnicity
138281000000117	Muslim - ethnic category 2001 census	9iF7	9iF7.00	89031000000104	Ethnicity
141291000000111	Ethnic category - 2001 census	9i	9i...00	92381000000106	Ethnicity
158341000000117	British or mixed British - ethnic category 2001 census	9i0	9i0..00	92391000000108	Ethnicity
141301000000110	Irish - ethnic category 2001 census	9i1	9i1..00	92401000000106	Ethnicity
141311000000112	Other White background - ethnic category 2001 census	9i2	9i2..00	92411000000108	Ethnicity
141321000000118	White and Black Caribbean - ethnic category 2001 census	9i3	9i3..00	92421000000102	Ethnicity
141331000000116	White and Black African - ethnic category 2001 census	9i4	9i4..00	92431000000100	Ethnicity
141341000000113	White and Asian - ethnic category 2001 census	9i5	9i5..00	92441000000109	Ethnicity
141351000000111	Other Mixed background - ethnic category 2001 census	9i6	9i6..00	92451000000107	Ethnicity
141361000000114	Pakistani or British Pakistani - ethnic category 2001 census	9i8	9i8..00	92461000000105	Ethnicity
937541000006115	Bangladeshi or British Bangladeshi - ethn categ 2001 census	9i9	9i9..00	92471000000103	Ethnicity
141381000000117	Other Asian background - ethnic category 2001 census	9iA	9iA..00	92481000000101	Ethnicity
141391000000115	African - ethnic category 2001 census	9iC	9iC..00	92491000000104	Ethnicity
158351000000119	Other Black background - ethnic category 2001 census	9iD	9iD..00	92501000000105	Ethnicity
141401000000117	Chinese - ethnic category 2001 census	9iE	9iE..00	92511000000107	Ethnicity
141411000000115	Other - ethnic category 2001 census	9iF	9iF..00	92521000000101	Ethnicity
141421000000114	Ethnic category not stated - 2001 census	9iG	9iG..00	92531000000104	Ethnicity
141431000000111	Scottish - ethnic category 2001 census	9i21	9i21.00	92541000000108	Ethnicity
141441000000119	Welsh - ethnic category 2001 census	9i22	9i22.00	92551000000106	Ethnicity
141451000000116	Northern Irish - ethnic category 2001 census	9i24	9i24.00	92561000000109	Ethnicity
141461000000118	Cornish - ethnic category 2001 census	9i23	9i23.00	92571000000102	Ethnicity
141471000000113	Black and Asian - ethnic category 2001 census	9i60	9i60.00	92581000000100	Ethnicity
141481000000110	Black and Chinese - ethnic category 2001 census	9i61	9i61.00	92591000000103	Ethnicity
141491000000112	Chinese and White - ethnic category 2001 census	9i63	9i63.00	92601000000109	Ethnicity
158361000000116	Asian and Chinese - ethnic category 2001 census	9i64	9i64.00	92611000000106	Ethnicity
937511000006119	Other Mixed or Mixed unspecified ethnic category 2001 census	9i65	9i65.00	92621000000100	Ethnicity
141511000000116	Mixed Asian - ethnic category 2001 census	9iA9	9iA9.00	92631000000103	Ethnicity
141521000000110	Punjabi - ethnic category 2001 census	9iA1	9iA1.00	92641000000107	Ethnicity
141531000000112	Kashmiri - ethnic category 2001 census	9iA2	9iA2.00	92651000000105	Ethnicity
141541000000115	East African Asian - ethnic category 2001 census	9iA3	9iA3.00	92661000000108	Ethnicity
